audio_id	sentence
220919-073442_nya_ddf_elicit_0	bambo wina wachikulire wovala zamalonda ku asia waima pafupi ndi taxi akupuma pa nthawi yopuma 
220919-073442_nya_ddf_elicit_1	anthu ena aimirira ena akuyenda ndipo wina akukwera njinga m kakhwalala koyalapo 
220919-073442_nya_ddf_elicit_2	azimayi aŵiri ndi kamtsikana akupuma ndi chakudya ndi zakumwa pafupi ndi chipika m munda waudzu pansi pa mitengo yamaluwa 
220919-073442_nya_ddf_elicit_3	wotsetsereka wavala suti yachikasu ndipo amatsetsereka kudutsa njanji yachikasu 
220919-073442_nya_ddf_elicit_4	magulu akuda ndi achikasu akuyesera kuti mpirawo ukhale mugoli 
220919-073442_nya_ddf_elicit_5	osewera a hockey achikazi asanu akuthamangira mpira kukamwa kwa zigoli 
220919-073442_nya_ddf_elicit_6	munthu wovala malaya ndi malaya akumanga chingwe chimene chaponyedwa m mbali mwa ngalawa 
220919-073442_nya_ddf_elicit_7	mwamuna wovala malaya akuda akuyendayenda pakati pa osewera otchinga mipanda 
220919-073442_nya_ddf_elicit_8	mwamuna wovala malaya akuda akuyendayenda pakati pa osewera otchinga mipanda 
220919-073442_nya_ddf_elicit_9	wopalasa skateboard akuwuluka mumlengalenga kuchokera panjira yokhala ndi sock yachikasu chakumbuyo kumbuyo 
220919-073442_nya_ddf_elicit_10	wosewera wa hockey amasenda kutsogolo ndi puck pomwe mdani akuwonera pafupi ndi ayezi rink 
220919-073442_nya_ddf_elicit_11	azimayi awiri achikulire mmodzi ali panjinga akulankhula kutsogolo kwa chikwangwani mumzinda wina akumuyang ana 
220919-073442_nya_ddf_elicit_12	gulu lalikulu la anthu okhala ndi akazi 2 kutsogolo wina atavala malaya achikasu ndi siketi ndipo wina ali ndi malaya ofiira ndi akabudula oyera 
220919-073442_nya_ddf_elicit_13	ana awiri amaponya masamba akufa m mwamba mozungulira 
220919-073442_nya_ddf_elicit_14	mnyamata wovala kabudula wabuluu wokhala ndi mizere yachikasu m mbali akudumphadumpha 
