IMAGE_ID,ENGLISH SENTENCES,LOZI TRANSLATIONS
400345058,A silhouette of a child playing in the beautiful ocean at sunset .,siluti sa mwanana ya bapalela fa liwate lelinde fa malikelelo ya lizazi
4003587342,A man is carrying a baby in a pouch to his chest is helping a small boy walk across a log by holding his hand .,Muuna upepile mbututu mwa kananulelo kaka fa sifuba sahae inge a tusa muchaha wamwanana kuzamaya
4003793942,"People marching down a street playing band instruments , a man in foreground is dressed like a baker .",batu basweli kuchaula inge baya mwasi lalanda baliza li tolompita
4003920724,A group of people outside playing drums and walking down the street wearing black and blue clothes .,sikwata sa batu bainzi fande inge baliza lingoma ni kuzamaya mwa silalanda batinile ze nsu ni
4003923771,"A group of people stand behind a black sign , while some shout and raise their fists .",sikwata sabatu bayemi kwamulaho wa si boniso sesi nsu mi babamwi bahuwa ni ku yemisa mazoho yabona yaputilwe mwa liñindi
4004004911,"A young dreadlocked woman is on stage , singing and playing acoustic guitar .","kalibe wamusizani ya tatani milili ufa patelo yamwa sibaka, aopela niku liza gita."
4004035933,"A group of ten people are in a van , all smiling at the camera .","sikwata sa batu baba lishumi bamwa mota yakwaluhile kwamulahao , kaufela bamenya nikutalimela kwa pangaliko kaka kopa."
4004704609,"A group of white male sailors , senior officers in tan and black shirts , and a lower ranked , black sailor , dressed in the traditional white pants suit with blue tie , walking past a sushi restaurant .","sikwata sa baana bamakuwa baba fului, babahulu kubona batinile liapalo zensu"
4004812878,"A boy in a baseball uniform with white pants , a white hat , and a yellow shirt with the number fourteen on the back is raising his left leg .","muchaha umwa sitino sa kuba palela mbola, kaputula ni kuwani yesweu nisapalo samubala wa mayi"
4005015759,A bird is flying through the air while children are playing on the beach .,nyunywani yafufa mwa moya mi banana babapala fa likamba
4005120966,"A balding man wearing a dark , blue uniform is rolling a yellow stretcher containing a large , blue duffel bag .",muuna wa sitenda umwa litino ze nsu ni mubala wa malu inze a nanuzi pulanga ya ku swaniseza
4005459199,A man wearing sunglasses is sitting in the passenger seat of a silver vehicle .,muna yatinile magilasi yakwameto uinzi mwa sipula sa mota ya mubala wa silivela
400562847,A dog walks through the snow while blindfolded carrying something in his mouth .,nja itamilwe lisila kwameto inze izamaya mwa litwa
4005756399,"A vendor , selling such kid-friendly items as popular cartoon balloons , water guns and clear umbrellas , wheels his stand around in the streets where he is selling .",mulekisi wamwa mukwakwa yalekisa tubapaliso twa banana inge tundoli ni tukunu piso twa mezi
400598822,Two men are barbecuing their food while another prepares the meat .,"baana baba beli babesa lico, yomumwi inze a tateha nama"
4006075273,A man plays guitar and sings into a microphone while a woman sings into a microphone next to him .,muuna uliza gita mi musali usweli waopela
4006329734,"Two young women , one in a blue blouse , the other in a bikini top , are standing at the table with beverages .","basizani baba beli, yomumwi umwa sapalo samubala wa malu mi yomumwi umwa kaapalo kaku bapalela kwa liwate, bayemi kwa tafule"
4006767585,"Children in school one little boy cutting paper the other little boy is reading , they are both wearing brown sweaters .","banana bakwa sikolo, alimumwi upuma pepa yomumwi wabala"
4007195454,A man not wearing a shirt dancing by himself with his eyes closed .,muuna yasika tina siapalo usweli wabina anosi inze a kwalile meto
400739268,"At the amusement park , a young lady tries to win a stuffed animal by playing one of the games .","kwa siba palelo sakuitabisa, kalibe wamusizani ulika ku wina sibapaliso"
400851260,A mist overshadows a man in winter gear and the winter landscape in front of him .,mbundu ikwahezi muuna yatinile litino za silami
400946967,"Young muscular African American man , cleaning a fish , shirtless .","muchaha ya situtu, yakopanezi mushomo wa sikuwa ni sesintu utapisa tapi"
400949109,Two young black men sit on a beach and work on fish netting while boats and other men are visible in the background .,michaha baba beli baba nsu bainzi fa likamba inze ba panga tunyandi
4009638392,A young toddler in a blue hoodie brushes his teeth with his back to a mirror .,mbututu umwa sitino sa silami samubala wa malu mi utapisa meno yahae inze afulalezi siponi
4010233873,local nationals running past a humvee while a soldier stands over fellow troop .,"bañi banaha banze bamata, musole uyemi ni ba sikwata sahae"
401059368,"A smiling man of Asian descent is sitting in his slightly-untidy cubicle at a desktop computer with several windows open , both hands poised in proper keyboarding position .",muuna yainzi wamenya inze a talimile kwa ka tepu-tepu
401079494,"Two black poodles playfully tussle on a grassy , manicured lawn .",nja usweli ya bapala mwa bucwani
4011368227,"A man in a scary old man mask , a woman , and a child in front of a cafe .","muuna yatinile sakwameto sesi sabisa, musali ni mwana fapilaa sintolo"
